1: ProtocolRequired - \handshake\ProtocolRequired.as
5635: TaxCollectorAttackedResultMessage - \game\guild\tax\TaxCollectorAttackedResultMessage.as
5636: GuildInfosUpgradeMessage - \game\guild\GuildInfosUpgradeMessage.as
5637: GameContextRefreshEntityLookMessage - \game\context\GameContextRefreshEntityLookMessage.as
5638: NicknameRefusedMessage - \connection\register\NicknameRefusedMessage.as
5639: NicknameChoiceRequestMessage - \connection\register\NicknameChoiceRequestMessage.as
5640: NicknameRegistrationMessage - \connection\register\NicknameRegistrationMessage.as
5641: NicknameAcceptedMessage - \connection\register\NicknameAcceptedMessage.as
5642: MapNpcsQuestStatusUpdateMessage - \game\context\roleplay\npc\MapNpcsQuestStatusUpdateMessage.as
5643: QuestStartRequestMessage - \game\context\roleplay\quest\QuestStartRequestMessage.as
5644: EmoteAddMessage - \game\context\roleplay\emote\EmoteAddMessage.as
5645: StorageKamasUpdateMessage - \game\inventory\storage\StorageKamasUpdateMessage.as
5646: StorageInventoryContentMessage - \game\inventory\storage\StorageInventoryContentMessage.as
5647: StorageObjectUpdateMessage - \game\inventory\storage\StorageObjectUpdateMessage.as
5648: StorageObjectRemoveMessage - \game\inventory\storage\StorageObjectRemoveMessage.as
5649: JobCrafterDirectoryDefineSettingsMessage - \game\context\roleplay\job\JobCrafterDirectoryDefineSettingsMessage.as
5651: JobCrafterDirectoryAddMessage - \game\context\roleplay\job\JobCrafterDirectoryAddMessage.as
5652: JobCrafterDirectorySettingsMessage - \game\context\roleplay\job\JobCrafterDirectorySettingsMessage.as
5653: JobCrafterDirectoryRemoveMessage - \game\context\roleplay\job\JobCrafterDirectoryRemoveMessage.as
5654: JobExperienceUpdateMessage - \game\context\roleplay\job\JobExperienceUpdateMessage.as
5655: JobDescriptionMessage - \game\context\roleplay\job\JobDescriptionMessage.as
5656: JobLevelUpMessage - \game\context\roleplay\job\JobLevelUpMessage.as
5658: UpdateLifePointsMessage - \game\character\stats\UpdateLifePointsMessage.as
5661: HouseKickIndoorMerchantRequestMessage - \game\context\roleplay\houses\HouseKickIndoorMerchantRequestMessage.as
5662: AdminQuietCommandMessage - \authorized\AdminQuietCommandMessage.as
5663: BasicLatencyStatsMessage - \game\basic\BasicLatencyStatsMessage.as
5664: BasicWhoAmIRequestMessage - \game\basic\BasicWhoAmIRequestMessage.as
5666: LockableChangeCodeMessage - \game\context\roleplay\lockable\LockableChangeCodeMessage.as
5667: LockableUseCodeMessage - \game\context\roleplay\lockable\LockableUseCodeMessage.as
5668: LockableStateUpdateHouseDoorMessage - \game\context\roleplay\lockable\LockableStateUpdateHouseDoorMessage.as
5669: LockableStateUpdateStorageMessage - \game\context\roleplay\lockable\LockableStateUpdateStorageMessage.as
5670: CharacterLevelUpMessage - \game\character\stats\CharacterLevelUpMessage.as
5671: LockableStateUpdateAbstractMessage - \game\context\roleplay\lockable\LockableStateUpdateAbstractMessage.as
5672: LockableCodeResultMessage - \game\context\roleplay\lockable\LockableCodeResultMessage.as
5673: IgnoredAddRequestMessage - \game\friend\IgnoredAddRequestMessage.as
5674: IgnoredListMessage - \game\friend\IgnoredListMessage.as
5675: DocumentReadingBeginMessage - \game\context\roleplay\document\DocumentReadingBeginMessage.as
5676: IgnoredGetListMessage - \game\friend\IgnoredGetListMessage.as
5677: IgnoredDeleteResultMessage - \game\friend\IgnoredDeleteResultMessage.as
5678: IgnoredAddedMessage - \game\friend\IgnoredAddedMessage.as
5679: IgnoredAddFailureMessage - \game\friend\IgnoredAddFailureMessage.as
5680: IgnoredDeleteRequestMessage - \game\friend\IgnoredDeleteRequestMessage.as
5683: EmotePlayMessage - \game\context\roleplay\emote\EmotePlayMessage.as
5684: LifePointsRegenBeginMessage - \game\character\stats\LifePointsRegenBeginMessage.as
5685: EmotePlayRequestMessage - \game\context\roleplay\emote\EmotePlayRequestMessage.as
5686: LifePointsRegenEndMessage - \game\character\stats\LifePointsRegenEndMessage.as
5687: EmoteRemoveMessage - \game\context\roleplay\emote\EmoteRemoveMessage.as
5688: EmotePlayErrorMessage - \game\context\roleplay\emote\EmotePlayErrorMessage.as
5689: EmoteListMessage - \game\context\roleplay\emote\EmoteListMessage.as
5690: EmotePlayAbstractMessage - \game\context\roleplay\emote\EmotePlayAbstractMessage.as
5691: EmotePlayMassiveMessage - \game\context\roleplay\emote\EmotePlayMassiveMessage.as
5693: GameEntityDispositionMessage - \game\context\GameEntityDispositionMessage.as
5695: GameEntityDispositionErrorMessage - \game\context\GameEntityDispositionErrorMessage.as
5696: GameEntitiesDispositionMessage - \game\context\GameEntitiesDispositionMessage.as
5697: HouseSellRequestMessage - \game\context\roleplay\houses\HouseSellRequestMessage.as
5698: HouseKickRequestMessage - \game\context\roleplay\houses\HouseKickRequestMessage.as
5699: GuildSpellUpgradeRequestMessage - \game\guild\GuildSpellUpgradeRequestMessage.as
5700: HouseGuildRightsViewMessage - \game\context\roleplay\houses\guild\HouseGuildRightsViewMessage.as
5701: HouseGuildNoneMessage - \game\context\roleplay\houses\guild\HouseGuildNoneMessage.as
